game_title,platform,avg_price_usd,price_record_count
astro & suzy go to the beach,PS,0.99,2
bounce journey,PS,0.99,2
our church and halloween rpg (story two),PS,0.99,2
road bustle online,PS,0.99,2
racing (2 player cooperation edition) - breakthrough gaming arcade,PS,0.99,2
track (challenge mode edition) - breakthrough gaming arcade,PS,0.99,2
chronos time,PS,0.99,2
our church and halloween rpg (story five) (scott version),PS,0.99,2
road bustle,PS,0.99,2
zippy the circle (level 3c and level 4c),PS,0.99,2
10 second ninja x,PS,0.99,2
flute the snake charmer,PS,0.99,2
rainbow snake,PS,0.99,2
helichapter x,PS,0.99,2
zj the ball challenge (level 1c),PS,0.99,2
pinball (machine #3) - our church and halloween rpg,PS,0.99,2
baseball (4 player cooperation edition) (challenge mode) - breakthrough gaming arcade,PS,0.99,2
all mighty tower,PS,1.01,47
nape retroverse collection,PS,1.02,47
godsvivors,PS,1.03,47
ralph and the blue ball,PS,1.03,47
torinto,PS,1.04,47
westild's law,PS,1.05,47
samurai warrior,PS,1.05,48
sokomonster,PS,1.1,47
waifu impact 2,PS,1.1,47
skautfold: shrouded in sanity,PS,1.11,47
2048 snake,PS,1.11,3
a bibelot: prototo,PS,1.11,3
replica,PS,1.14,47
frogurai,PS,1.16,47
a frog's job,PS,1.16,47
i love food,PS,1.16,47
pnevmo-capsula,PS,1.16,47
bleep bloop,PS,1.19,2
wild island quest,PS,1.19,2
soraja invaders,PS,1.19,2
path builder,PS,1.19,3
momonga pinball adventures,PS,1.19,2
fruit harvest sorter,PS,1.19,3
dunk trickster,PS,1.19,3
duck race,PS,1.19,2
roll ball,PS,1.19,3
kingdom of arcadia,PS,1.2,47
moe waifu h - blockblast,PS,1.24,48
super korotama,PS,1.24,2
la cops,PS,1.24,2
gungungun,PS,1.24,2
reknum,PS,1.24,2
the adventures of elena temple: definitive edition,PS,1.24,2
dog gone golfing,PS,1.24,2
word maze by powgi,PS,1.29,47
five nights at freddy's 3,PS,1.29,47
parasite pack,PS,1.29,47
robot vs monsters,PS,1.29,47
tiny battles,PS,1.31,48
detective - the motel,PS,1.36,47
spirit arena,PS,1.37,2
lisa: the joyful - definitive edition,PS,1.37,47
hammerwatch,PS,1.37,47
mahjong,PS,1.37,47
total trails,PS,1.37,47
cazzarion: rocket raid,PS,1.39,2
masters of anima,PS,1.39,2
cazzarion: shellfish frenzy,PS,1.39,2
cazzarion: space ace,PS,1.39,2
cazzarion: tank killer,PS,1.39,2
cazzarion: speed run,PS,1.39,2
cazzarion: pop the bubbles,PS,1.39,2
scramble animal words,PS,1.41,47
softball (2 player cooperation edition) - breakthrough gaming arcade,PS,1.41,47
crazy athletics - summer sports & games,PS,1.43,47
rooftop rascal: the glitch cat,PS,1.48,10
ball jumper,PS,1.49,2
clouds & sheep 2,PS,1.49,2
dessert diy,PS,1.49,2
tappy tilt,PS,1.49,2
space explorers: lunar mission,PS,1.49,2
stealth inc: ultimate edition,PS,1.49,2
the innsmouth case,PS,1.49,2
the button be unexpected,PS,1.49,2
funny alphabet,PS,1.49,3
boomerang of destruction,PS,1.49,2
astro miner,PS,1.49,2
space explorers: red planet,PS,1.49,2
microarcade rockwork,PS,1.49,2
save the doge 2,PS,1.49,2
xenon valkyrie+,PS,1.49,2
microarcade applepie,PS,1.49,2
dodge the ball,PS,1.49,2
the whiskey story,PS,1.49,2
pink pong,PS,1.49,2
crayoncore,PS,1.49,2
rocket swing,PS,1.49,2
riddled corpses ex,PS,1.49,2
the long journey home,PS,1.49,2
brick buster,PS,1.49,2
rainbow advanced,PS,1.49,3
rainbow mix,PS,1.49,3
